Family,Scientific name,Common name,Population size (mature individuals),Population size derivation,Current population trend,Current population trend derivation
Nightjars,Caprimulgus eximius,Golden Nightjar,Unknown,not applicable,Stable,suspected
Weavers,Ploceus bojeri,Golden Palm Weaver,Unknown,not applicable,Stable,suspected
Parrots,Guaruba guarouba,Golden Parakeet,6600-13400,estimated,Decreasing,suspected
Parrotbills and allies,Suthora verreauxi,Golden Parrotbill,Unknown,not applicable,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Chrysolophus pictus,Golden Pheasant,Unknown,not applicable,Decreasing,suspected
Pipits and Wagtails,Tmetothylacus tenellus,Golden Pipit,Unknown,not applicable,Stable,suspected
Hummingbirds,Coeligena eos,Golden Starfrontlet,Unknown,not applicable,Stable,suspected
Swallows and martins,Tachycineta euchrysea,Golden Swallow,2000-3000,estimated,Decreasing,inferred
Tanagers,Tangara aurulenta,Golden Tanager,Unknown,not applicable,Decreasing,suspected
Whistlers,Pachycephala pectoralis,Golden Whistler,Unknown,not applicable,Stable,suspected
White-eyes and Yuhinas,Cleptornis marchei,Golden White-eye,29000-70000,estimated,Decreasing,inferred
Weavers,Euplectes aureus,Golden-backed Bishop,Unknown,not applicable,Stable,suspected
Honeyeaters,Melithreptus laetior,Golden-backed Honeyeater,Unknown,not applicable,Stable,suspected
Tanagers,Cnemathraupis aureodorsalis,Golden-backed Mountain-tanager,250-2500,estimated,Decreasing,suspected
Weavers,Ploceus jacksoni,Golden-backed Weaver,Unknown,not applicable,Stable,suspected
Whistlers,Pachycephala aurea,Golden-backed Whistler,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Myiodynastes hemichrysus,Golden-bellied Flycatcher,Unknown,not applicable,Decreasing,suspected
Thornbills,Gerygone sulphurea,Golden-bellied Gerygone,Unknown,not applicable,Stable,suspected
Hummingbirds,Coeligena bonapartei,Golden-bellied Starfrontlet,Unknown,not applicable,Stable,suspected
Tanagers,Cnemoscopus chrysogaster,Golden-bellied Tanager,Unknown,not applicable,Decreasing,suspected
Tanagers,Saltator aurantiirostris,Golden-billed Saltator,Unknown,not applicable,Unknown,not applicable
Old World Buntings,Emberiza flaviventris,Golden-breasted Bunting,Unknown,not applicable,Stable,suspected
Cotingas,Pipreola aureopectus,Golden-breasted Fruiteater,Unknown,not applicable,Decreasing,inferred
Parrotbills and allies,Lioparus chrysotis,Golden-breasted Fulvetta,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Eriocnemis mosquera,Golden-breasted Puffleg,Unknown,not applicable,Decreasing,suspected
Starlings,Lamprotornis regius,Golden-breasted Starling,Unknown,not applicable,Stable,suspected
Woodpeckers,Colaptes melanolaimus,Golden-breasted Woodpecker,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Silvicultrix pulchella,Golden-browed Chat-tyrant,Unknown,not applicable,Decreasing,suspected
Finches,Chlorophonia callophrys,Golden-browed Chlorophonia,50000-499999,estimated,Decreasing,suspected
New World warblers,Basileuterus belli,Golden-browed Warbler,50000-499999,estimated,Decreasing,suspected
Parrots,Aratinga auricapillus,Golden-capped Parakeet,Unknown,not applicable,Decreasing,suspected
New World warblers,Setophaga chrysoparia,Golden-cheeked Warbler,Unknown,not applicable,Decreasing,inferred
Woodpeckers,Melanerpes chrysogenys,Golden-cheeked Woodpecker,50000-499999,estimated,Stable,suspected
Tanagers,Bangsia rothschildi,Golden-chested Tanager,Unknown,not applicable,Decreasing,suspected
Tanagers,Tangara ornata,Golden-chevroned Tanager,Unknown,not applicable,Decreasing,suspected
Tanagers,Iridophanes pulcherrimus,Golden-collared Honeycreeper,Unknown,not applicable,Decreasing,suspected
Manakins,Manacus vitellinus,Golden-collared Manakin,500000-4999999,suspected,Decreasing,suspected
Tanagers,Iridosornis jelskii,Golden-collared Tanager,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Veniliornis cassini,Golden-collared Woodpecker,Unknown,not applicable,Stable,inferred
Starlings,Ampeliceps coronatus,Golden-crested Myna,Unknown,not applicable,Decreasing,suspected
White-eyes and Yuhinas,Sterrhoptilus dennistouni,Golden-crowned Babbler,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Cynanthus auriceps,Golden-crowned Emerald,50000-499999,suspected,Decreasing,suspected
Tyrant-flycatchers,Myiodynastes chrysocephalus,Golden-crowned Flycatcher,Unknown,not applicable,Increasing,suspected
Kinglets and firecrests,Regulus satrapa,Golden-crowned Kinglet,140000000,inferred,Stable,inferred
Manakins,Lepidothrix vilasboasi,Golden-crowned Manakin,15000-137000,suspected,Decreasing,inferred
Tyrant-flycatchers,Platyrinchus coronatus,Golden-crowned Spadebill,Unknown,not applicable,Decreasing,suspected
New World sparrows,Zonotrichia atricapilla,Golden-crowned Sparrow,7500000,estimated,Decreasing,inferred
Tanagers,Iridosornis rufivertex,Golden-crowned Tanager,Unknown,not applicable,Stable,suspected
New World warblers,Basileuterus auricapilla,Golden-crowned Warbler,Unknown,,Decreasing,not applicable
Tanagers,Tangara chrysotis,Golden-eared Tanager,Unknown,not applicable,Decreasing,suspected
Thornbills,Pachycare flavogriseum,Goldenface,Unknown,not applicable,Decreasing,suspected
Tyrant-flycatchers,Zimmerius chrysops,Golden-faced Tyrannulet,Unknown,not applicable,Stable,suspected
Bowerbirds,Amblyornis flavifrons,Golden-fronted Bowerbird,1500-7000,estimated,Stable,suspected
Ground babblers,Schoeniparus variegaticeps,Golden-fronted Fulvetta,Unknown,not applicable,Stable,suspected
Vireos,Pachysylvia aurantiifrons,Golden-fronted Greenlet,500000-4999999,suspected,Decreasing,suspected
Leafbirds,Chloropsis aurifrons,Golden-fronted Leafbird,Unknown,,Stable,suspected
New World warblers,Myioborus chrysops,Golden-fronted Whitestart,Unknown,not applicable,Stable,suspected
Woodpeckers,Melanerpes aurifrons,Golden-fronted Woodpecker,Unknown,estimated,Stable,estimated
Woodpeckers,Piculus chrysochloros,Golden-green Woodpecker,500000-4999999,estimated,Decreasing,inferred
Cisticolas and allies,Cisticola exilis,Golden-headed Cisticola,Unknown,not applicable,Increasing,estimated
Manakins,Ceratopipra erythrocephala,Golden-headed Manakin,Unknown,not applicable,Stable,suspected
Trogons,Pharomachrus auriceps,Golden-headed Quetzal,50000-499999,suspected,Decreasing,suspected
Tanagers,Tangara larvata,Golden-hooded Tanager,Unknown,not applicable,Decreasing,suspected
Parrots,Prioniturus platurus,Golden-mantled Racquet-tail,Unknown,not applicable,Decreasing,inferred
Asian Barbets,Psilopogon pulcherrimus,Golden-naped Barbet,Unknown,not applicable,Decreasing,inferred
Tanagers,Tangara ruficervix,Golden-naped Tanager,Unknown,not applicable,Decreasing,suspected
Weavers,Ploceus aureonucha,Golden-naped Weaver,2100-8600,estimated,Decreasing,inferred
Woodpeckers,Melanerpes chrysauchen,Golden-naped Woodpecker,20000-49999,estimated,Decreasing,suspected
Woodpeckers,Colaptes rubiginosus,Golden-olive Woodpecker,Unknown,not applicable,Decreasing,suspected
Parrots,Leptosittaca branickii,Golden-plumed Parakeet,7300-20000,estimated,Decreasing,suspected
Finches,Euphonia cyanocephala,Golden-rumped Euphonia,Unknown,not applicable,Stable,suspected
Flowerpeckers,Dicaeum annae,Golden-rumped Flowerpecker,Unknown,not applicable,Decreasing,suspected
Parrots,Psephotellus chrysopterygius,Golden-shouldered Parrot,"780-1100, 940",estimated,Decreasing,inferred
Finches,Euphonia cayennensis,Golden-sided Euphonia,Unknown,not applicable,Decreasing,suspected
Woodpeckers,Picumnus exilis,Golden-spangled Piculet,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Metriopelia aymara,Golden-spotted Ground Dove,Unknown,not applicable,Stable,suspected
Parrots,Touit surdus,Golden-tailed Parrotlet,2500-9999,estimated,Decreasing,inferred
Hummingbirds,Chrysuronia oenone,Golden-tailed Sapphire,Unknown,not applicable,Stable,suspected
Woodpeckers,Campethera abingoni,Golden-tailed Woodpecker,Unknown,not applicable,Decreasing,suspected
Asian Barbets,Psilopogon franklinii,Golden-throated Barbet,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Macroagelaius imthurni,Golden-tufted Grackle,Unknown,not applicable,Decreasing,suspected
New World blackbirds,Cacicus chrysopterus,Golden-winged Cacique,Unknown,not applicable,Stable,suspected
Laughingthrushes and allies,Trochalopteron ngoclinhense,Golden-winged Laughingthrush,1000-2499,suspected,Decreasing,inferred
Manakins,Masius chrysopterus,Golden-winged Manakin,Unknown,not applicable,Decreasing,suspected
Parrots,Brotogeris chrysoptera,Golden-winged Parakeet,Unknown,not applicable,Decreasing,suspected
New World sparrows,Arremon schlegeli,Golden-winged Sparrow,Unknown,not applicable,Decreasing,suspected
Sunbirds,Drepanorhynchus reichenowi,Golden-winged Sunbird,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Poecilotriccus calopterus,Golden-winged Tody-flycatcher,Unknown,not applicable,Decreasing,suspected
New World warblers,Vermivora chrysoptera,Golden-winged Warbler,Unknown,estimated,Decreasing,estimated
Birds-of-paradise,Paradisaea decora,Goldie's Bird-of-paradise,430-450,estimated,Decreasing,inferred
Parrots,Psitteuteles goldiei,Goldie's Lorikeet,Unknown,not applicable,Decreasing,inferred
Finches,Pyrrhoplectes epauletta,Gold-naped Finch,Unknown,not applicable,Stable,suspected
Tanagers,Bangsia aureocincta,Gold-ringed Tanager,600-1700,inferred,Decreasing,suspected
Asian Barbets,Psilopogon chrysopogon,Gold-whiskered Barbet,Unknown,not applicable,Decreasing,inferred
Cuckoos,Centropus goliath,Goliath Coucal,Unknown,not applicable,Decreasing,suspected
Herons,Ardea goliath,Goliath Heron,6700-67000,estimated,Stable,suspected
"Ducks, Geese, Swans",Mergus merganser,Goosander,Unknown,estimated,Unknown,not applicable
Bush-shrikes,Telophorus viridis,Gorgeous Bushshrike,Unknown,not applicable,Stable,suspected
Sunbirds,Cinnyris melanogastrus,Gorgeous Sunbird,Unknown,not applicable,Stable,suspected
Hummingbirds,Eriocnemis isabellae,Gorgeted Puffleg,250-999,inferred,Decreasing,suspected
Hummingbirds,Heliangelus strophianus,Gorgeted Sunangel,Unknown,not applicable,Decreasing,suspected
New World quails,Odontophorus strophium,Gorgeted Wood-quail,2500-9999,estimated,Decreasing,inferred
Hummingbirds,Chaetocercus heliodor,Gorgeted Woodstar,Unknown,not applicable,Decreasing,suspected
Cisticolas and allies,Apalis goslingi,Gosling's Apalis,Unknown,not applicable,Stable,suspected
Tanagers,Rowettia goughensis,Gough Island Finch,"1118-2030,1440",estimated,Stable,estimated
"Rails, Gallinules, Coots",Gallinula comeri,Gough Island Moorhen,8500,estimated,Stable,suspected
Waxbills,Chloebia gouldiae,Gouldian Finch,"5000-50000, 25000",estimated,Stable,estimated
Hummingbirds,Heliodoxa aurescens,Gould's Brilliant,Unknown,not applicable,Decreasing,not applicable
Frogmouths,Batrachostomus stellatus,Gould's Frogmouth,Unknown,not applicable,Decreasing,suspected
Hummingbirds,Coeligena inca,Gould's Inca,Unknown,not applicable,Decreasing,suspected
Thrushes,Catharus dryas,Gould's Nightingale-thrush,Unknown,not applicable,Decreasing,suspected
Old World Flycatchers and Chats,Heteroxenicus stellatus,Gould's Shortwing,Unknown,not applicable,Stable,suspected
Sunbirds,Aethopyga gouldiae,Gould's Sunbird,Unknown,not applicable,Decreasing,suspected
Toucans,Selenidera gouldii,Gould's Toucanet,Unknown,not applicable,Decreasing,suspected
Honeyeaters,Microptilotis gracilis,Graceful Honeyeater,Unknown,not applicable,Stable,suspected
Pittas,Erythropitta venusta,Graceful Pitta,Unknown,not applicable,Decreasing,suspected
Cisticolas and allies,Prinia gracilis,Graceful Prinia,Unknown,not applicable,Stable,suspected
New World warblers,Setophaga graciae,Grace's Warbler,3000000,estimated,Decreasing,inferred
Finches,Fringilla polatzeki,Gran Canaria Blue Chaffinch,430,estimated,Increasing,observed
Tanagers,Melopyrrha taylori,Grand Cayman Bullfinch,10000-19999,suspected,Decreasing,suspected
Thrushes,Turdus ravidus,Grand Cayman Thrush,0,observed,,not applicable
Starlings,Rhabdornis grandis,Grand Rhabdornis,Unknown,not applicable,Decreasing,suspected
Thrushes,Grandala coelicolor,Grandala,Unknown,not applicable,Stable,suspected
Reed-warblers,Nesillas brevicaudata,Grande Comore Brush-Warbler,Unknown,not applicable,Stable,suspected
Bulbuls,Hypsipetes parvirostris,Grande Comore Bulbul,2500-9999,suspected,Decreasing,suspected
Weavers,Foudia consobrina,Grande Comore Fody,10000-19999,suspected,Decreasing,suspected
Typical Owls,Otus pauliani,Grande Comore Scops-owl,2300,estimated,Decreasing,inferred
Sunbirds,Cinnyris moebii,Grande Comore Sunbird,Unknown,not applicable,Stable,suspected
Waxbills,Spermophaga poliogenys,Grant's Bluebill,Unknown,not applicable,Stable,suspected
Wrens,Cistothorus platensis,Grass Wren,Unknown,not applicable,Increasing,estimated
Tanagers,Chlorornis riefferii,Grass-green Tanager,Unknown,not applicable,Decreasing,suspected
"Hawks, Eagles",Butastur rufipennis,Grasshopper Buzzard,20000-49999,suspected,Decreasing,suspected
New World sparrows,Ammodramus savannarum,Grasshopper Sparrow,34000000,inferred,Decreasing,inferred
New World sparrows,Ammodramus humeralis,Grassland Sparrow,Unknown,not applicable,Stable,suspected
Tanagers,Sicalis luteola,Grassland Yellow-finch,Unknown,estimated,Increasing,observed
Typical Broadbills,Pseudocalyptomena graueri,Grauer's Broadbill,2500-9999,inferred,Decreasing,inferred
Cuckooshrikes,Ceblepyris graueri,Grauer's Cuckooshrike,10000-19999,suspected,Decreasing,inferred
Grasshopper-warblers and grassbirds,Bradypterus graueri,Grauer's Swamp-warbler,12000-30000,inferred,Decreasing,inferred
Crombecs and allies,Graueria vittata,Grauer's Warbler,Unknown,not applicable,Decreasing,suspected
"Pigeons, Doves",Geotrygon caniceps,Gray-fronted Quail-Dove,1500-7000,estimated,Decreasing,inferred
Grasshopper-warblers and grassbirds,Helopsaltes fasciolatus,Gray's Grasshopper-warbler,Unknown,not applicable,Stable,suspected
Hummingbirds,Chrysuronia grayi,Gray's Hummingbird,Unknown,,Stable,suspected
Larks,Ammomanopsis grayi,Gray's Lark,Unknown,not applicable,Stable,suspected
Antpittas,Grallaria excelsa,Great Antpitta,1000-2499,inferred,Decreasing,suspected
Typical Antbirds,Taraba major,Great Antshrike,5000000-50000000,estimated,Decreasing,suspected
"Pheasants, Partridges, Turkeys, Grouse",Argusianus argus,Great Argus,Unknown,estimated,Decreasing,suspected
Auks,Pinguinus impennis,Great Auk,Unknown,,,not applicable
Asian Barbets,Psilopogon virens,Great Barbet,Unknown,not applicable,Decreasing,inferred
"Hawks, Eagles",Buteogallus urubitinga,Great Black Hawk,500000-4999999,estimated,Decreasing,suspected
"Gulls, Terns, Skimmers",Larus marinus,Great Black-backed Gull,Unknown,estimated,Unknown,suspected
Herons,Ardea herodias,Great Blue Heron,500000-4999999,estimated,Increasing,estimated
Turacos,Corythaeola cristata,Great Blue Turaco,Unknown,not applicable,Decreasing,suspected
Bowerbirds,Chlamydera nuchalis,Great Bowerbird,Unknown,not applicable,Stable,suspected
Bustards,Otis tarda,Great Bustard,29600-33000,estimated,Decreasing,estimated
Cormorants,Phalacrocorax carbo,Great Cormorant,Unknown,estimated,Increasing,suspected
Tyrant-flycatchers,Myiarchus crinitus,Great Crested Flycatcher,8800000,estimated,Stable,estimated
Grebes,Podiceps cristatus,Great Crested Grebe,609999-997000,estimated,Unknown,not applicable
"Pigeons, Doves",Reinwardtoena reinwardti,Great Cuckoo-Dove,Unknown,not applicable,Decreasing,suspected
"Guans, Chachalacas, Curassows",Crax rubra,Great Curassow,40000-50000,estimated,Decreasing,inferred
Swifts,Cypseloides senex,Great Dusky Swift,Unknown,not applicable,Stable,suspected
Nightjars,Lyncornis macrotis,Great Eared-nightjar,Unknown,not applicable,Stable,suspected
Tyrant-flycatchers,Elaenia dayi,Great Elaenia,Unknown,not applicable,Decreasing,suspected
Frigatebirds,Fregata minor,Great Frigatebird,120000,estimated,Decreasing,suspected
Grebes,Podiceps major,Great Grebe,26700-93300,estimated,Stable,suspected
Parrots,Ara ambiguus,Great Green Macaw,500-1000,estimated,Decreasing,estimated
Typical Owls,Strix nebulosa,Great Grey Owl,50000-99999,estimated,Increasing,estimated
Shrikes,Lanius excubitor,Great Grey Shrike,640000-1250000,estimated,Decreasing,suspected
Hornbills,Buceros bicornis,Great Hornbill,13000-27000,inferred,Decreasing,suspected
Typical Owls,Bubo virginianus,Great Horned Owl,Unknown,estimated,Stable,estimated
Tanagers,Incaspiza pulchra,Great Inca-finch,Unknown,not applicable,Stable,suspected
Bustards,Ardeotis nigriceps,Great Indian Bustard,50-249,estimated,Decreasing,estimated
Ioras,Aegithina lafresnayei,Great Iora,Unknown,not applicable,Unknown,not applicable
Jacamars,Jacamerops aureus,Great Jacamar,500000-4999999,estimated,Decreasing,suspected
Tyrant-flycatchers,Pitangus sulphuratus,Great Kiskadee,Unknown,estimated,Increasing,estimated
"Sandpipers, Snipes, Phalaropes",Calidris tenuirostris,Great Knot,Unknown,estimated,Decreasing,estimated
Starlings,Acridotheres grandis,Great Myna,Unknown,not applicable,Stable,suspected
"Hawks, Eagles",Spilornis klossi,Great Nicobar Serpent-eagle,"150-370, 150-180",estimated,Unknown,not applicable
Tanagers,Embernagra platensis,Great Pampa-finch,Unknown,not applicable,Stable,suspected
Parrotbills and allies,Paradoxornis aemodium,Great Parrotbill,Unknown,not applicable,Decreasing,suspected
Cormorants,Phalacrocorax varius,Great Pied Cormorant,Unknown,estimated,Unknown,not applicable
Potoos,Nyctibius grandis,Great Potoo,500000-4999999,estimated,Decreasing,inferred
Reed-warblers,Acrocephalus arundinaceus,Great Reed-warbler,Unknown,,Decreasing,suspected
Finches,Carpodacus rubicilla,Great Rosefinch,Unknown,not applicable,Stable,suspected
Ovenbirds,Xiphocolaptes major,Great Rufous Woodcreeper,Unknown,not applicable,Decreasing,inferred
Hummingbirds,Pterophanes cyanopterus,Great Sapphirewing,Unknown,not applicable,Decreasing,suspected
"Petrels, Shearwaters",Ardenna gravis,Great Shearwater,10000000,estimated,Stable,suspected
